year,month,monthly_revenue
2017,3,374344.3000000007
2017,4,359927.23000000126
2018,3,983213.440000033
2017,1,120312.86999999954
2018,1,950030.3600000378
2017,2,247303.01999999548
2017,10,664219.4300000161
2017,11,1010271.3700000352
2017,5,506071.140000008
2017,9,624401.6900000159
2016,10,49507.66000000014
2017,6,433038.60000000556
2018,2,844178.7100000301
2016,12,10.9
2017,8,573971.6800000146
2017,7,498031.48000001104
2018,10,null
2017,12,743914.17000002
2018,4,996647.7500000307
2018,9,145
2018,6,865124.3100000221
2018,7,895507.2200000235
2018,5,996517.6800000311
2018,8,854686.3300000228
2016,9,267.36
